Timestamp,Year,Gender,Branch,What should be the ideal length of the movie that you generally prefer?,Which movie genre do you prefer the most?,Does the lead Actor/Actress in the movie matters whether you will watch the movie?,Which industry's movies do you generally enjoy watching?,Are you a documentary or web series guy?,Where do you like to watch a movie or web series?,Do you enjoy watching older movies or only recently released movies?
1/11/2025 14:38:27,1st year,Male,DSAI,2 to 3 hrs,Sci-Fi,No,Hollywood,Documentary,Mobile/ Laptop,Anything works ( Chill guy)
1/11/2025 14:51:02,1st year,Female,CSE,1 to 2 hrs,Comedy,Sometimes :|,Tollywood,Web Series (ofc),Theatre,Anything works ( Chill guy)
1/11/2025 15:29:21,3rd year,Female,CSE,1 to 2 hrs,Horror,Sometimes :|,Hollywood,Web Series (ofc),Mobile/ Laptop,Anything works ( Chill guy)
1/11/2025 15:54:08,3rd year,Female,EE,1 to 2 hrs,Horror,Sometimes :|,Hollywood,Documentary,Theatre,Anything works ( Chill guy)
1/11/2025 16:30:07,1st year,Male,EE,2 to 3 hrs,Romance,Sometimes :|,Bollywood,Web Series (ofc),Mobile/ Laptop,Anything works ( Chill guy)
1/11/2025 16:33:37,3rd year,Female,EE,2 to 3 hrs,Horror,Sometimes :|,Tollywood,,Mobile/ Laptop,Anything works ( Chill guy)
1/11/2025 17:10:33,1st year,Male,MSME,2 to 3 hrs,Sci-Fi,Yes,Hollywood,Documentary,Mobile/ Laptop,Anything works ( Chill guy)
1/11/2025 19:08:16,3rd year,Female,CSE,2 to 3 hrs,Comedy,Sometimes :|,Bollywood,Web Series (ofc),Television,Anything works ( Chill guy)
1/11/2025 20:32:11,1st year,Male,CSE,1 to 2 hrs,Horror,No,Don't care ( I am just a chill guy),Web Series (ofc),Television,Anything works ( Chill guy)
1/11/2025 22:37:14,4th year,Female,CSE,1 to 2 hrs,Sci-Fi,Sometimes :|,Don't care ( I am just a chill guy),Web Series (ofc),Mobile/ Laptop,Anything works ( Chill guy)
1/12/2025 0:51:53,3rd year,Female,,1 to 2 hrs,Romance,No,Anime,Web Series (ofc),Mobile/ Laptop,Anything works ( Chill guy)
1/12/2025 3:03:07,1st year,Male,CSE,2 to 3 hrs,Action,Sometimes :|,Hollywood,Web Series (ofc),Mobile/ Laptop,Anything works ( Chill guy)
1/12/2025 12:59:00,3rd year,Male,ME,2 to 3 hrs,Horror,No,Hollywood,Web Series (ofc),Mobile/ Laptop,New movies only
1/12/2025 14:42:09,1st year,Male,DSAI,2 to 3 hrs,Action,No,Hollywood,Documentary,Television,Anything works ( Chill guy)
1/13/2025 9:01:58,Other,Male,ECE,1 to 2 hrs,Comedy,Yes,Don't care ( I am just a chill guy),Web Series (ofc),Mobile/ Laptop,Anything works ( Chill guy)
1/13/2025 10:29:45,4th year,Female,EE,1 to 2 hrs,Comedy,Sometimes :|,Bollywood,Web Series (ofc),Mobile/ Laptop,Anything works ( Chill guy)
1/13/2025 17:41:50,2nd year,Male,other,1 to 2 hrs,Sci-Fi,No,Hollywood,Web Series (ofc),Mobile/ Laptop,Anything works ( Chill guy)
1/14/2025 9:07:53,3rd year,Male,DSAI,2 to 3 hrs,Action,Sometimes :|,Tollywood,Web Series (ofc),Theatre,Anything works ( Chill guy)
